EL,ER,SL,SR,type
6,6,12,12,2
16,16,25,25,2
27,27,31,31,2
25,25,33,33,2
33,33,35,35,2
33,33,36,36,2
33,33,36,36,2
30,30,38,38,2
36,36,39,39,2
36,36,39,39,2
29,29,39,39,2
38,38,40,40,2
37,37,41,41,2
39,39,42,42,2
38,38,42,42,2
37,37,42,42,2
35,35,42,42,2
40,40,43,43,2
36,36,43,43,2
39,39,44,44,2
38,38,44,44,2
38,38,44,44,2
36,36,44,44,2
35,35,44,44,2
41,41,45,45,2
38,38,45,45,2
37,37,45,45,2
42,42,46,46,2
39,39,46,46,2
38,38,46,46,2
42,42,47,47,2
42,42,47,47,2
42,42,47,47,2
40,40,47,47,2
38,38,47,47,2
46,46,48,48,2
46,46,48,48,2
44,44,48,48,2
44,44,48,48,2
43,43,48,48,2
42,42,48,48,2
41,41,48,48,2
40,40,48,48,2
34,34,48,48,2
46,46,49,49,2
45,45,49,49,2
43,43,49,49,2
41,41,49,49,2
39,39,49,49,2
47,47,50,50,2
47,47,50,50,2
46,46,50,50,2
45,45,50,50,2
45,45,50,50,2
44,44,50,50,2
44,44,50,50,2
44,44,50,50,2
43,43,50,50,2
43,43,50,50,2
43,43,50,50,2
41,41,50,50,2
48,48,51,51,2
48,48,51,51,2
47,47,51,51,2
47,47,51,51,2
46,46,51,51,2
45,45,51,51,2
45,45,51,51,2
44,44,51,51,2
44,44,51,51,2
44,44,51,51,2
44,44,51,51,2
44,44,51,51,2
44,44,51,51,2
48,48,52,52,2
48,48,52,52,2
47,47,52,52,2
47,47,52,52,2
47,47,52,52,2
47,47,52,52,2
46,46,52,52,2
46,46,52,52,2
44,44,52,52,2
44,44,52,52,2
51,51,53,53,2
50,50,53,53,2
49,49,53,53,2
48,48,53,53,2
48,48,53,53,2
47,47,53,53,2
46,46,53,53,2
46,46,53,53,2
44,44,53,53,2
42,42,53,53,2
52,52,54,54,2
51,51,54,54,2
51,51,54,54,2
51,51,54,54,2
49,49,54,54,2
49,49,54,54,2
49,49,54,54,2
49,49,54,54,2
49,49,54,54,2
48,48,54,54,2
48,48,54,54,2
48,48,54,54,2
47,47,54,54,2
47,47,54,54,2
47,47,54,54,2
47,47,54,54,2
47,47,54,54,2
46,46,54,54,2
46,46,54,54,2
42,42,54,54,2
52,52,55,55,2
52,52,55,55,2
52,52,55,55,2
52,52,55,55,2
52,52,55,55,2
51,51,55,55,2
50,50,55,55,2
49,49,55,55,2
48,48,55,55,2
48,48,55,55,2
47,47,55,55,2
47,47,55,55,2
47,47,55,55,2
46,46,55,55,2
44,44,55,55,2
53,53,56,56,2
53,53,56,56,2
53,53,56,56,2
53,53,56,56,2
52,52,56,56,2
52,52,56,56,2
52,52,56,56,2
51,51,56,56,2
51,51,56,56,2
50,50,56,56,2
50,50,56,56,2
50,50,56,56,2
50,50,56,56,2
49,49,56,56,2
49,49,56,56,2
49,49,56,56,2
49,49,56,56,2
49,49,56,56,2
49,49,56,56,2
48,48,56,56,2
45,45,56,56,2
55,55,57,57,2
55,55,57,57,2
55,55,57,57,2
54,54,57,57,2
54,54,57,57,2
53,53,57,57,2
53,53,57,57,2
53,53,57,57,2
53,53,57,57,2
52,52,57,57,2
50,50,57,57,2
50,50,57,57,2
49,49,57,57,2
49,49,57,57,2
48,48,57,57,2
48,48,57,57,2
47,47,57,57,2
47,47,57,57,2
46,46,57,57,2
45,45,57,57,2
57,57,58,58,2
56,56,58,58,2
