date,imported,local
0,1,0
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,0,0
10,0,0
11,0,1
12,0,0
13,0,0
14,0,0
15,0,0
16,0,0
17,0,0
18,0,1
19,0,0
20,0,0
21,0,1
22,0,0
23,0,4
24,0,4
25,0,3
26,0,10
27,0,3
28,0,2
29,0,7
30,0,5
31,0,3
32,0,5
33,0,12
34,0,7
35,0,12
36,0,17
37,0,18
38,0,18
39,0,19
40,0,27
41,0,20
42,0,40
43,0,38
44,0,36
45,0,49
46,0,61
47,0,66
48,0,77
49,0,94
50,0,94
51,0,109
52,0,122
53,0,161
54,0,162
55,0,187
56,0,214
57,0,208
58,0,268
59,0,311
60,0,315
61,0,386
62,0,429
63,0,457
64,0,532
65,0,590
66,0,638
67,0,707
68,0,755
69,0,796
70,0,821
71,0,805
72,0,861
73,0,839
74,0,851
75,0,883
76,0,891
77,0,824
78,0,793
79,0,731
80,0,723
81,0,674
82,0,607
83,0,579
84,0,467
85,0,464
86,0,385
87,0,299
88,0,292
89,0,262
90,0,194
91,0,188
92,0,170
93,0,122
94,0,103
95,0,115
96,0,88
97,0,74
98,0,49
99,0,41
100,0,43
101,0,35
102,0,29
103,0,40
104,0,18
105,0,21
106,0,16
107,0,9
108,0,17
109,0,9
110,0,9
111,0,12
112,0,6
113,0,5
114,0,7
115,0,3
116,0,4
117,0,3
118,0,1
119,0,0
120,0,2
121,0,0
122,0,2
123,0,0
124,0,0
125,0,0
126,0,1
127,0,0
128,0,0
129,0,0
130,0,0
131,0,0
132,0,0
133,0,0
134,0,0
135,0,1
136,0,0
137,0,0
138,0,0
139,0,0
140,0,0
141,0,0
142,0,0
143,0,0
144,0,1
145,0,0
146,0,0
147,0,0
148,0,0
149,0,0
150,0,0
151,0,0
152,0,0
153,0,0
154,0,0
155,0,0
156,0,0
157,0,0
158,0,0
159,0,0
160,0,0
