EL,ER,SL,SR,type
18,18,21,21,2
21,21,27,27,2
28,28,31,31,2
28,28,31,31,2
28,28,32,32,2
28,28,32,32,2
32,32,33,33,2
31,31,33,33,2
28,28,33,33,2
28,28,33,33,2
28,28,33,33,2
28,28,33,33,2
28,28,33,33,2
31,31,34,34,2
28,28,34,34,2
27,27,34,34,2
27,27,35,35,2
36,36,37,37,2
33,33,37,37,2
32,32,37,37,2
32,32,37,37,2
31,31,37,37,2
31,31,37,37,2
31,31,37,37,2
33,33,38,38,2
32,32,38,38,2
32,32,38,38,2
32,32,38,38,2
32,32,38,38,2
32,32,38,38,2
31,31,38,38,2
31,31,38,38,2
27,27,38,38,2
38,38,39,39,2
37,37,39,39,2
33,33,39,39,2
33,33,39,39,2
32,32,39,39,2
32,32,39,39,2
32,32,39,39,2
27,27,39,39,2
36,36,40,40,2
34,34,40,40,2
33,33,40,40,2
33,33,40,40,2
33,33,40,40,2
27,27,40,40,2
27,27,40,40,2
38,38,41,41,2
38,38,41,41,2
37,37,41,41,2
35,35,41,41,2
33,33,41,41,2
33,33,41,41,2
31,31,41,41,2
41,41,42,42,2
39,39,42,42,2
39,39,42,42,2
37,37,42,42,2
37,37,42,42,2
34,34,42,42,2
34,34,42,42,2
27,27,42,42,2
42,42,43,43,2
41,41,43,43,2
40,40,43,43,2
40,40,43,43,2
40,40,43,43,2
40,40,43,43,2
40,40,43,43,2
40,40,43,43,2
39,39,43,43,2
39,39,43,43,2
39,39,43,43,2
39,39,43,43,2
39,39,43,43,2
38,38,43,43,2
37,37,43,43,2
37,37,43,43,2
36,36,43,43,2
35,35,43,43,2
35,35,43,43,2
34,34,43,43,2
33,33,43,43,2
33,33,43,43,2
33,33,43,43,2
33,33,43,43,2
27,27,43,43,2
42,42,44,44,2
41,41,44,44,2
41,41,44,44,2
41,41,44,44,2
41,41,44,44,2
39,39,44,44,2
39,39,44,44,2
39,39,44,44,2
38,38,44,44,2
38,38,44,44,2
38,38,44,44,2
37,37,44,44,2
37,37,44,44,2
37,37,44,44,2
34,34,44,44,2
34,34,44,44,2
33,33,44,44,2
33,33,44,44,2
33,33,44,44,2
33,33,44,44,2
33,33,44,44,2
44,44,45,45,2
44,44,45,45,2
44,44,45,45,2
43,43,45,45,2
43,43,45,45,2
42,42,45,45,2
42,42,45,45,2
42,42,45,45,2
42,42,45,45,2
42,42,45,45,2
42,42,45,45,2
42,42,45,45,2
41,41,45,45,2
41,41,45,45,2
41,41,45,45,2
41,41,45,45,2
41,41,45,45,2
41,41,45,45,2
41,41,45,45,2
41,41,45,45,2
41,41,45,45,2
41,41,45,45,2
41,41,45,45,2
41,41,45,45,2
41,41,45,45,2
41,41,45,45,2
41,41,45,45,2
41,41,45,45,2
41,41,45,45,2
41,41,45,45,2
41,41,45,45,2
40,40,45,45,2
40,40,45,45,2
40,40,45,45,2
39,39,45,45,2
38,38,45,45,2
38,38,45,45,2
38,38,45,45,2
38,38,45,45,2
37,37,45,45,2
35,35,45,45,2
34,34,45,45,2
43,43,46,46,2
43,43,46,46,2
43,43,46,46,2
43,43,46,46,2
43,43,46,46,2
43,43,46,46,2
43,43,46,46,2
42,42,46,46,2
42,42,46,46,2
42,42,46,46,2
42,42,46,46,2
42,42,46,46,2
42,42,46,46,2
42,42,46,46,2
42,42,46,46,2
42,42,46,46,2
41,41,46,46,2
41,41,46,46,2
41,41,46,46,2
41,41,46,46,2
41,41,46,46,2
41,41,46,46,2
41,41,46,46,2
41,41,46,46,2
41,41,46,46,2
41,41,46,46,2
41,41,46,46,2
41,41,46,46,2
41,41,46,46,2
41,41,46,46,2
41,41,46,46,2
41,41,46,46,2
41,41,46,46,2
41,41,46,46,2
41,41,46,46,2
41,41,46,46,2
40,40,46,46,2
40,40,46,46,2
40,40,46,46,2
40,40,46,46,2
40,40,46,46,2
40,40,46,46,2
40,40,46,46,2
39,39,46,46,2
39,39,46,46,2
39,39,46,46,2
39,39,46,46,2
39,39,46,46,2
39,39,46,46,2
39,39,46,46,2
38,38,46,46,2
38,38,46,46,2
38,38,46,46,2
37,37,46,46,2
37,37,46,46,2
37,37,46,46,2
36,36,46,46,2
46,46,47,47,2
46,46,47,47,2
45,45,47,47,2
45,45,47,47,2
45,45,47,47,2
45,45,47,47,2
45,45,47,47,2
45,45,47,47,2
45,45,47,47,2
44,44,47,47,2
44,44,47,47,2
44,44,47,47,2
44,44,47,47,2
44,44,47,47,2
44,44,47,47,2
43,43,47,47,2
43,43,47,47,2
43,43,47,47,2
43,43,47,47,2
43,43,47,47,2
43,43,47,47,2
43,43,47,47,2
43,43,47,47,2
43,43,47,47,2
43,43,47,47,2
43,43,47,47,2
43,43,47,47,2
43,43,47,47,2
43,43,47,47,2
43,43,47,47,2
43,43,47,47,2
43,43,47,47,2
43,43,47,47,2
42,42,47,47,2
42,42,47,47,2
42,42,47,47,2
42,42,47,47,2
42,42,47,47,2
42,42,47,47,2
42,42,47,47,2
42,42,47,47,2
42,42,47,47,2
42,42,47,47,2
42,42,47,47,2
42,42,47,47,2
42,42,47,47,2
42,42,47,47,2
42,42,47,47,2
42,42,47,47,2
41,41,47,47,2
41,41,47,47,2
41,41,47,47,2
41,41,47,47,2
41,41,47,47,2
41,41,47,47,2
41,41,47,47,2
41,41,47,47,2
41,41,47,47,2
41,41,47,47,2
41,41,47,47,2
41,41,47,47,2
41,41,47,47,2
41,41,47,47,2
41,41,47,47,2
41,41,47,47,2
41,41,47,47,2
41,41,47,47,2
41,41,47,47,2
40,40,47,47,2
40,40,47,47,2
40,40,47,47,2
40,40,47,47,2
40,40,47,47,2
40,40,47,47,2
40,40,47,47,2
39,39,47,47,2
39,39,47,47,2
38,38,47,47,2
38,38,47,47,2
38,38,47,47,2
38,38,47,47,2
38,38,47,47,2
37,37,47,47,2
37,37,47,47,2
37,37,47,47,2
33,33,47,47,2
47,47,48,48,2
46,46,48,48,2
46,46,48,48,2
46,46,48,48,2
45,45,48,48,2
45,45,48,48,2
45,45,48,48,2
45,45,48,48,2
45,45,48,48,2
44,44,48,48,2
44,44,48,48,2
44,44,48,48,2
44,44,48,48,2
44,44,48,48,2
44,44,48,48,2
44,44,48,48,2
44,44,48,48,2
44,44,48,48,2
43,43,48,48,2
43,43,48,48,2
43,43,48,48,2
43,43,48,48,2
43,43,48,48,2
43,43,48,48,2
43,43,48,48,2
43,43,48,48,2
43,43,48,48,2
43,43,48,48,2
43,43,48,48,2
43,43,48,48,2
43,43,48,48,2
43,43,48,48,2
43,43,48,48,2
43,43,48,48,2
43,43,48,48,2
43,43,48,48,2
43,43,48,48,2
43,43,48,48,2
43,43,48,48,2
43,43,48,48,2
43,43,48,48,2
42,42,48,48,2
42,42,48,48,2
42,42,48,48,2
42,42,48,48,2
41,41,48,48,2
41,41,48,48,2
41,41,48,48,2
41,41,48,48,2
41,41,48,48,2
41,41,48,48,2
41,41,48,48,2
41,41,48,48,2
40,40,48,48,2
40,40,48,48,2
40,40,48,48,2
40,40,48,48,2
40,40,48,48,2
40,40,48,48,2
39,39,48,48,2
39,39,48,48,2
39,39,48,48,2
39,39,48,48,2
39,39,48,48,2
39,39,48,48,2
39,39,48,48,2
39,39,48,48,2
38,38,48,48,2
38,38,48,48,2
38,38,48,48,2
37,37,48,48,2
37,37,48,48,2
48,48,49,49,2
48,48,49,49,2
48,48,49,49,2
47,47,49,49,2
47,47,49,49,2
46,46,49,49,2
46,46,49,49,2
46,46,49,49,2
46,46,49,49,2
46,46,49,49,2
46,46,49,49,2
46,46,49,49,2
46,46,49,49,2
45,45,49,49,2
45,45,49,49,2
45,45,49,49,2
45,45,49,49,2
45,45,49,49,2
45,45,49,49,2
45,45,49,49,2
45,45,49,49,2
45,45,49,49,2
45,45,49,49,2
45,45,49,49,2
45,45,49,49,2
44,44,49,49,2
44,44,49,49,2
44,44,49,49,2
44,44,49,49,2
44,44,49,49,2
44,44,49,49,2
44,44,49,49,2
44,44,49,49,2
44,44,49,49,2
44,44,49,49,2
44,44,49,49,2
43,43,49,49,2
43,43,49,49,2
43,43,49,49,2
43,43,49,49,2
43,43,49,49,2
43,43,49,49,2
43,43,49,49,2
43,43,49,49,2
43,43,49,49,2
43,43,49,49,2
43,43,49,49,2
43,43,49,49,2
43,43,49,49,2
43,43,49,49,2
43,43,49,49,2
43,43,49,49,2
43,43,49,49,2
43,43,49,49,2
43,43,49,49,2
42,42,49,49,2
42,42,49,49,2
42,42,49,49,2
42,42,49,49,2
42,42,49,49,2
42,42,49,49,2
42,42,49,49,2
42,42,49,49,2
41,41,49,49,2
41,41,49,49,2
41,41,49,49,2
41,41,49,49,2
41,41,49,49,2
41,41,49,49,2
41,41,49,49,2
41,41,49,49,2
41,41,49,49,2
41,41,49,49,2
40,40,49,49,2
40,40,49,49,2
40,40,49,49,2
40,40,49,49,2
40,40,49,49,2
40,40,49,49,2
40,40,49,49,2
40,40,49,49,2
39,39,49,49,2
39,39,49,49,2
38,38,49,49,2
38,38,49,49,2
38,38,49,49,2
38,38,49,49,2
38,38,49,49,2
38,38,49,49,2
38,38,49,49,2
38,38,49,49,2
38,38,49,49,2
38,38,49,49,2
37,37,49,49,2
37,37,49,49,2
49,49,50,50,2
49,49,50,50,2
49,49,50,50,2
49,49,50,50,2
49,49,50,50,2
49,49,50,50,2
49,49,50,50,2
49,49,50,50,2
49,49,50,50,2
49,49,50,50,2
48,48,50,50,2
48,48,50,50,2
48,48,50,50,2
48,48,50,50,2
48,48,50,50,2
48,48,50,50,2
48,48,50,50,2
48,48,50,50,2
48,48,50,50,2
48,48,50,50,2
48,48,50,50,2
48,48,50,50,2
48,48,50,50,2
48,48,50,50,2
48,48,50,50,2
47,47,50,50,2
47,47,50,50,2
47,47,50,50,2
47,47,50,50,2
47,47,50,50,2
47,47,50,50,2
47,47,50,50,2
47,47,50,50,2
47,47,50,50,2
47,47,50,50,2
47,47,50,50,2
47,47,50,50,2
47,47,50,50,2
47,47,50,50,2
47,47,50,50,2
47,47,50,50,2
47,47,50,50,2
47,47,50,50,2
47,47,50,50,2
47,47,50,50,2
46,46,50,50,2
46,46,50,50,2
46,46,50,50,2
46,46,50,50,2
46,46,50,50,2
46,46,50,50,2
46,46,50,50,2
46,46,50,50,2
46,46,50,50,2
46,46,50,50,2
46,46,50,50,2
46,46,50,50,2
46,46,50,50,2
46,46,50,50,2
46,46,50,50,2
46,46,50,50,2
46,46,50,50,2
46,46,50,50,2
45,45,50,50,2
