EL,ER,SL,SR,type
24,24,32,32,2
24,24,32,32,2
24,24,32,32,2
22,22,32,32,2
21,21,32,32,2
21,21,32,32,2
32,32,33,33,2
32,32,33,33,2
32,32,33,33,2
31,31,33,33,2
30,30,33,33,2
30,30,33,33,2
30,30,33,33,2
30,30,33,33,2
30,30,33,33,2
30,30,33,33,2
30,30,33,33,2
29,29,33,33,2
29,29,33,33,2
29,29,33,33,2
29,29,33,33,2
29,29,33,33,2
29,29,33,33,2
29,29,33,33,2
29,29,33,33,2
29,29,33,33,2
29,29,33,33,2
29,29,33,33,2
29,29,33,33,2
29,29,33,33,2
29,29,33,33,2
29,29,33,33,2
29,29,33,33,2
29,29,33,33,2
29,29,33,33,2
29,29,33,33,2
29,29,33,33,2
28,28,33,33,2
28,28,33,33,2
28,28,33,33,2
28,28,33,33,2
28,28,33,33,2
28,28,33,33,2
28,28,33,33,2
28,28,33,33,2
27,27,33,33,2
27,27,33,33,2
27,27,33,33,2
27,27,33,33,2
27,27,33,33,2
27,27,33,33,2
27,27,33,33,2
27,27,33,33,2
27,27,33,33,2
27,27,33,33,2
27,27,33,33,2
27,27,33,33,2
27,27,33,33,2
27,27,33,33,2
27,27,33,33,2
27,27,33,33,2
27,27,33,33,2
27,27,33,33,2
27,27,33,33,2
27,27,33,33,2
27,27,33,33,2
27,27,33,33,2
27,27,33,33,2
27,27,33,33,2
27,27,33,33,2
26,26,33,33,2
26,26,33,33,2
26,26,33,33,2
26,26,33,33,2
26,26,33,33,2
26,26,33,33,2
25,25,33,33,2
25,25,33,33,2
25,25,33,33,2
25,25,33,33,2
24,24,33,33,2
24,24,33,33,2
23,23,33,33,2
23,23,33,33,2
23,23,33,33,2
23,23,33,33,2
23,23,33,33,2
33,33,34,34,2
33,33,34,34,2
33,33,34,34,2
33,33,34,34,2
33,33,34,34,2
33,33,34,34,2
32,32,34,34,2
32,32,34,34,2
32,32,34,34,2
32,32,34,34,2
32,32,34,34,2
32,32,34,34,2
32,32,34,34,2
32,32,34,34,2
32,32,34,34,2
32,32,34,34,2
31,31,34,34,2
31,31,34,34,2
31,31,34,34,2
31,31,34,34,2
31,31,34,34,2
31,31,34,34,2
31,31,34,34,2
31,31,34,34,2
31,31,34,34,2
31,31,34,34,2
31,31,34,34,2
30,30,34,34,2
30,30,34,34,2
30,30,34,34,2
30,30,34,34,2
30,30,34,34,2
30,30,34,34,2
30,30,34,34,2
29,29,34,34,2
29,29,34,34,2
29,29,34,34,2
29,29,34,34,2
29,29,34,34,2
29,29,34,34,2
29,29,34,34,2
29,29,34,34,2
29,29,34,34,2
29,29,34,34,2
29,29,34,34,2
29,29,34,34,2
29,29,34,34,2
29,29,34,34,2
29,29,34,34,2
29,29,34,34,2
29,29,34,34,2
29,29,34,34,2
28,28,34,34,2
28,28,34,34,2
28,28,34,34,2
28,28,34,34,2
28,28,34,34,2
28,28,34,34,2
28,28,34,34,2
28,28,34,34,2
28,28,34,34,2
28,28,34,34,2
28,28,34,34,2
28,28,34,34,2
28,28,34,34,2
28,28,34,34,2
28,28,34,34,2
28,28,34,34,2
28,28,34,34,2
28,28,34,34,2
28,28,34,34,2
28,28,34,34,2
28,28,34,34,2
28,28,34,34,2
27,27,34,34,2
27,27,34,34,2
27,27,34,34,2
27,27,34,34,2
27,27,34,34,2
27,27,34,34,2
27,27,34,34,2
27,27,34,34,2
27,27,34,34,2
27,27,34,34,2
27,27,34,34,2
27,27,34,34,2
27,27,34,34,2
27,27,34,34,2
27,27,34,34,2
27,27,34,34,2
27,27,34,34,2
27,27,34,34,2
27,27,34,34,2
27,27,34,34,2
27,27,34,34,2
27,27,34,34,2
27,27,34,34,2
27,27,34,34,2
26,26,34,34,2
26,26,34,34,2
26,26,34,34,2
25,25,34,34,2
25,25,34,34,2
25,25,34,34,2
25,25,34,34,2
24,24,34,34,2
24,24,34,34,2
23,23,34,34,2
34,34,35,35,2
34,34,35,35,2
34,34,35,35,2
33,33,35,35,2
33,33,35,35,2
33,33,35,35,2
33,33,35,35,2
33,33,35,35,2
33,33,35,35,2
32,32,35,35,2
32,32,35,35,2
32,32,35,35,2
32,32,35,35,2
32,32,35,35,2
32,32,35,35,2
32,32,35,35,2
32,32,35,35,2
32,32,35,35,2
32,32,35,35,2
32,32,35,35,2
32,32,35,35,2
32,32,35,35,2
32,32,35,35,2
32,32,35,35,2
32,32,35,35,2
32,32,35,35,2
32,32,35,35,2
32,32,35,35,2
32,32,35,35,2
32,32,35,35,2
32,32,35,35,2
31,31,35,35,2
31,31,35,35,2
31,31,35,35,2
31,31,35,35,2
31,31,35,35,2
31,31,35,35,2
31,31,35,35,2
31,31,35,35,2
31,31,35,35,2
31,31,35,35,2
31,31,35,35,2
31,31,35,35,2
31,31,35,35,2
31,31,35,35,2
31,31,35,35,2
31,31,35,35,2
31,31,35,35,2
31,31,35,35,2
31,31,35,35,2
31,31,35,35,2
31,31,35,35,2
31,31,35,35,2
31,31,35,35,2
31,31,35,35,2
31,31,35,35,2
31,31,35,35,2
31,31,35,35,2
31,31,35,35,2
30,30,35,35,2
30,30,35,35,2
30,30,35,35,2
30,30,35,35,2
30,30,35,35,2
30,30,35,35,2
30,30,35,35,2
30,30,35,35,2
30,30,35,35,2
30,30,35,35,2
30,30,35,35,2
30,30,35,35,2
30,30,35,35,2
30,30,35,35,2
30,30,35,35,2
30,30,35,35,2
30,30,35,35,2
30,30,35,35,2
30,30,35,35,2
29,29,35,35,2
29,29,35,35,2
29,29,35,35,2
29,29,35,35,2
29,29,35,35,2
29,29,35,35,2
29,29,35,35,2
29,29,35,35,2
29,29,35,35,2
29,29,35,35,2
29,29,35,35,2
29,29,35,35,2
29,29,35,35,2
29,29,35,35,2
29,29,35,35,2
29,29,35,35,2
