date,imported,local
0,1,0
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,0,0
10,0,1
11,0,0
12,0,0
13,0,0
14,0,0
15,0,0
16,0,0
17,0,0
18,0,1
19,0,0
20,0,0
21,0,1
22,0,0
23,0,0
24,0,1
25,0,0
26,0,0
27,0,2
28,0,1
29,0,0
30,0,0
31,0,15
32,0,8
33,0,15
34,0,12
35,0,7
36,0,7
37,0,21
38,0,26
39,0,42
40,0,36
41,0,57
42,0,42
43,0,90
44,0,83
45,0,169
46,0,215
47,0,300
48,0,337
49,0,390
50,0,570
51,0,617
52,0,811
53,0,1025
54,0,1346
55,0,1683
56,0,2023
57,0,2237
58,0,2657
59,0,3055
60,0,3447
61,0,3730
62,0,3927
63,0,4122
64,0,4071
65,0,4297
66,0,4193
67,0,3983
68,0,3779
69,0,3567
70,0,3264
71,0,3008
72,0,2739
73,0,2417
74,0,2174
75,0,1893
76,0,1663
77,0,1473
78,0,1259
79,0,1131
80,0,968
81,0,800
82,0,697
83,0,592
84,0,501
85,0,447
86,0,374
87,0,331
88,0,270
89,0,209
90,0,198
91,0,152
92,0,142
93,0,105
94,0,113
95,0,87
96,0,75
97,0,70
98,0,48
99,0,41
100,0,47
101,0,42
102,0,24
103,0,26
104,0,25
105,0,25
106,0,11
107,0,9
108,0,3
109,0,9
110,0,11
111,0,7
112,0,3
113,0,5
114,0,3
115,0,2
116,0,4
117,0,1
118,0,3
119,0,3
120,0,0
121,0,0
122,0,0
123,0,0
124,0,1
125,0,0
126,0,0
127,0,0
128,0,0
129,0,0
130,0,0
131,0,0
132,0,0
133,0,0
134,0,0
135,0,0
