"date","all.cases","symp.cases","records","local.rt.mean","local.rt.lower","local.rt.upper","rt.cat","mean","median","skewness","skewness.imputed","date.num","mean.cat","median.cat","skewness.cat"
2020-10-13,4,1,3,0.293049887,0.109579595,0.410210175,"1",18.3166666666667,14.63,0.384372099908984,0.384372099908984,18548,"1","1","4"
2020-10-14,0,0,1,0.303396905,0.083501067,0.449118923,"1",14.5,14.5,NA,0.320815945197123,18549,"1","1",NA
2020-10-15,4,0,0,0.31632705,0.043001628,0.495589551,"1",NA,NA,NA,NA,18550,NA,NA,NA
2020-10-16,1,1,0,0.329931354,0.032373916,0.538233806,"1",NA,NA,NA,NA,18551,NA,NA,NA
2020-10-17,0,2,1,0.333670266,0.035959671,0.556285876,"1",18.5,18.5,NA,0.431912356662718,18552,"1","1",NA
2020-10-18,2,0,1,0.347565723,0.040480107,0.562916355,"1",17.12,17.12,NA,0.512389469982286,18553,"1","1",NA
2020-10-19,1,2,2,0.331778346,0.042839711,0.618744567,"1",20.905,20.905,-1.6989941540734e-15,-1.6989941540734e-15,18554,"2","2","2"
2020-10-20,1,1,1,0.319605886,0.047005106,0.659614368,"1",26.7,26.7,NA,0.192186049954491,18555,"5","5",NA
2020-10-21,1,1,0,0.307794884,0.059181477,0.716106928,"1",NA,NA,NA,NA,18556,NA,NA,NA
2020-10-22,1,1,1,0.321039683,0.056104643,0.769415776,"1",33,33,NA,-1.6989941540734e-15,18557,"5","5",NA
2020-10-23,0,0,1,0.365535558,0.078959766,0.797248545,"1",17.7,17.7,NA,-1.6989941540734e-15,18558,"1","1",NA
2020-10-24,1,0,1,0.466487365,0.131823631,0.948165833,"1",14.51,14.51,NA,-1.6989941540734e-15,18559,"1","1",NA
2020-10-25,1,0,0,0.604307929,0.234277773,1.161029072,"2",NA,NA,NA,NA,18560,NA,NA,NA
2020-10-26,0,0,0,0.772524554,0.326068194,1.333096386,"2",NA,NA,NA,NA,18561,NA,NA,NA
2020-10-27,0,1,2,0.961036195,0.441567077,1.608449073,"2",27.805,27.805,0,0,18562,"5","5","2"
2020-10-28,0,2,0,1.097558526,0.639629253,1.791463115,"3",NA,NA,NA,NA,18563,NA,NA,NA
2020-10-29,1,0,1,1.157997037,0.734253903,1.769682332,"3",18.87,18.87,NA,0,18564,"1","1",NA
2020-10-30,1,5,1,1.155160119,0.787865772,1.706532871,"3",22.31,22.31,NA,0,18565,"3","3",NA
2020-10-31,0,3,1,1.140981938,0.769500892,1.654277505,"3",19.25,19.25,NA,0,18566,"1","1",NA
2020-11-01,1,1,6,1.129829461,0.778460275,1.637398058,"3",20.06,18.75,0.383371182200111,0.383371182200111,18567,"2","1","4"
2020-11-02,3,2,3,1.141330134,0.832671853,1.631220604,"3",20.5133333333333,20.34,0.113461101533664,0.113461101533664,18568,"2","2","3"
2020-11-03,3,0,0,1.177655962,0.835588864,1.666335674,"3",NA,NA,NA,NA,18569,NA,NA,NA
2020-11-04,2,0,1,1.259480853,0.88750694,1.801216063,"3",21.3,21.3,NA,0.248416141866888,18570,"2","2",NA
2020-11-05,1,2,0,1.40431581,1.007173856,1.976582743,"3",NA,NA,NA,NA,18571,NA,NA,NA
2020-11-06,0,3,1,1.588761642,1.204900394,2.29179082,"4",31.44,31.44,NA,0.248416141866888,18572,"5","5",NA
2020-11-07,1,4,2,1.805111461,1.399467173,2.550054566,"4",33.205,33.205,4.67644153796653e-16,4.67644153796653e-16,18573,"5","5","3"
2020-11-08,2,2,2,2.020297963,1.587407228,2.783246561,"4",24.42,24.42,-5.20139379991169e-16,-5.20139379991169e-16,18574,"4","4","2"
2020-11-09,0,2,0,2.197939084,1.698436817,3.078340432,"4",NA,NA,NA,NA,18575,NA,NA,NA
2020-11-10,2,3,1,2.357731985,1.831106952,3.267906939,"4",20.76,20.76,NA,-2.62476130972581e-17,18576,"2","2",NA
2020-11-11,3,7,8,2.521772962,1.96806129,3.774581191,"4",22.06125,20.49,0.595436917753267,0.595436917753267,18577,"3","2","4"
2020-11-12,7,2,2,2.69097605,2.104393593,4.065450369,"4",20.215,20.215,-4.9394725166732e-16,-4.9394725166732e-16,18578,"2","2","2"
2020-11-13,4,3,4,2.848768086,2.208354424,4.292551516,"4",19.6625,19.31,0.253948337369007,0.253948337369007,18579,"1","1","3"
2020-11-14,3,10,1,2.948295922,2.292331547,4.454678919,"4",15.47,15.47,NA,0.169877051024455,18580,"1","1",NA
2020-11-15,5,6,1,3.01490522,2.317524535,4.600537615,"4",17.79,17.79,NA,0.212346313780568,18581,"1","1",NA
2020-11-16,0,14,3,3.014702152,2.34842164,4.580981876,"4",23.6,19.8,0.384520711301706,0.384520711301706,18582,"3","1","4"
2020-11-17,1,18,5,2.983539385,2.331207433,4.554008323,"4",24.46,25.02,-0.262777683302016,-0.262777683302016,18583,"4","4","2"
2020-11-18,3,17,7,2.920829239,2.216993143,4.821394281,"4",20.6171428571429,19.05,0.382504350583442,0.382504350583442,18584,"2","1","4"
2020-11-19,3,27,21,2.734397606,2.109860129,4.545293284,"4",22.6247619047619,24.3,0.0693404626553991,0.0693404626553991,18585,"3","4","3"
2020-11-20,21,50,40,2.563234783,1.969670238,4.183523595,"4",21.39325,19.315,0.683572235169869,0.683572235169869,18586,"2","1","4"
2020-11-21,36,41,53,2.345651423,1.817773283,3.816274985,"4",20.1077358490566,18.3,1.05510048777806,1.05510048777806,18587,"2","1","4"
2020-11-22,61,66,62,2.128398428,1.668177679,3.444467893,"4",20.3246774193548,18.455,0.844806967917452,0.844806967917452,18588,"2","1","4"
2020-11-23,63,75,69,1.928153684,1.532456042,2.988161778,"4",20.0584057971015,19.5,0.819036765607734,0.819036765607734,18589,"2","1","4"
2020-11-24,69,73,84,1.732384304,1.414777919,2.618366901,"4",19.5059523809524,18.5,1.2756690071603,1.2756690071603,18590,"1","1","4"
2020-11-25,83,69,77,1.582592708,1.319107008,2.144255775,"4",20.7077922077922,19.5,0.711736428407498,0.711736428407498,18591,"2","1","4"
2020-11-26,75,66,94,1.450635115,1.231542514,1.899912582,"3",21.4585106382979,19.99,0.627892079903587,0.627892079903587,18592,"2","1","4"
2020-11-27,89,72,72,1.350180502,1.165509972,1.74720008,"3",21.0720833333333,21.15,0.708894913110299,0.708894913110299,18593,"2","2","4"
2020-11-28,81,66,89,1.265595096,1.114401908,1.598740751,"3",21.3701123595506,20.56,0.678410675695812,0.678410675695812,18594,"2","2","4"
2020-11-29,109,60,79,1.197345446,1.067398493,1.47709821,"3",20.5512658227848,19.46,0.348219587064872,0.348219587064872,18595,"2","1","4"
2020-11-30,68,93,78,1.142558944,1.028260817,1.37492346,"3",21.6710256410256,21.25,0.210214315288453,0.210214315288453,18596,"2","2","3"
2020-12-01,72,73,100,1.09582334,0.993892671,1.287749594,"3",21.3005,20.63,0.230457291644873,0.230457291644873,18597,"2","2","3"
2020-12-02,97,81,89,1.059314076,0.967626923,1.212287812,"3",22.1104494382022,21.2,0.150231325758333,0.150231325758333,18598,"3","2","3"
2020-12-03,79,78,91,1.030666758,0.953183004,1.160449061,"3",23.9602197802198,23.3,0.472653331341732,0.472653331341732,18599,"3","3","4"
2020-12-04,100,67,117,0.999216934,0.931857639,1.108799611,"2",21.9496581196581,21.7,0.199265103606349,0.199265103606349,18600,"2","2","3"
2020-12-05,92,70,70,0.970778621,0.911173481,1.071198889,"2",23.4901428571429,23.55,0.399221888808709,0.399221888808709,18601,"3","3","4"
2020-12-06,87,81,76,0.947911653,0.888209349,1.032371961,"2",22.1915789473684,21.6,0.486164532226859,0.486164532226859,18602,"3","2","4"
2020-12-07,71,74,109,0.928375005,0.870441524,0.999664356,"2",22.8907339449541,21.82,0.552661111224915,0.552661111224915,18603,"3","2","4"
2020-12-08,95,88,110,0.91215498,0.85506139,0.972290808,"2",23.3322727272727,23.215,0.332304270389904,0.332304270389904,18604,"3","3","4"
2020-12-09,99,53,101,0.898528223,0.851129541,0.947660574,"2",23.0420792079208,21.4,0.667883969944817,0.667883969944817,18605,"3","2","4"
2020-12-10,102,58,81,0.886990375,0.830940633,0.936269513,"2",23.288024691358,23.47,0.37300475311328,0.37300475311328,18606,"3","3","4"
2020-12-11,81,73,111,0.871756959,0.820814552,0.919890236,"2",22.6736936936937,21.72,0.387053061837395,0.387053061837395,18607,"3","2","4"
2020-12-12,64,54,78,0.856553488,0.801710201,0.913167401,"2",23.7947435897436,23.47,0.320652663181128,0.320652663181128,18608,"3","3","4"
2020-12-13,92,69,66,0.839808914,0.791757759,0.892057049,"2",23.6757575757576,22.465,0.368814790989149,0.368814790989149,18609,"3","3","4"
2020-12-14,77,74,79,0.831529066,0.766068141,0.87957858,"2",23.4567088607595,23.8,0.10064444605151,0.10064444605151,18610,"3","3","3"
2020-12-15,89,55,127,0.817870404,0.75474709,0.866595321,"2",23.8014173228346,24.2,0.171432172432522,0.171432172432522,18611,"3","4","3"
2020-12-16,79,60,53,0.798483606,0.737843781,0.852214266,"2",26.4062264150943,26.86,-0.0661727160981505,-0.0661727160981505,18612,"5","5","2"
2020-12-17,90,44,78,0.793673616,0.726060377,0.849644582,"2",23.8516666666667,23.62,0.145282691397166,0.145282691397166,18613,"3","3","3"
2020-12-18,64,44,87,0.774544782,0.712152007,0.837884525,"2",24.092183908046,23.21,0.221938009645711,0.221938009645711,18614,"4","3","3"
2020-12-19,102,53,88,0.770066916,0.70497193,0.836178274,"2",23.4028409090909,23.335,0.194467074152059,0.194467074152059,18615,"3","3","3"
2020-12-20,70,41,70,0.774064852571395,0.703663084105003,0.848457325863074,"2",24.799,24.785,0.198855391870718,0.198855391870718,18616,"4","4","3"
2020-12-21,78,45,78,0.780399503769614,0.687917684396261,0.850381124243989,"2",24.1228205128205,24.235,-0.0909734234174029,-0.0909734234174029,18617,"4","4","2"
2020-12-22,53,43,61,0.774136512727741,0.690466460994463,0.84472593650817,"2",23.8262295081967,23.4,0.396824446587956,0.396824446587956,18618,"3","3","4"
2020-12-23,47,50,69,0.770290153631685,0.676220736982985,0.854346795034711,"2",24.6340579710145,23.75,0.204023821104461,0.204023821104461,18619,"4","3","3"
2020-12-24,61,42,68,0.775230462048266,0.679121064987438,0.845981063849695,"2",24.2138235294118,24.73,0.269366241356077,0.269366241356077,18620,"4","4","3"
2020-12-25,55,47,54,0.75966669180735,0.688511690855543,0.833363958645639,"2",23.0961111111111,22.2,0.278902946942316,0.278902946942316,18621,"3","3","3"
2020-12-26,53,29,62,0.749450870276986,0.644015266484063,0.820937492181892,"2",23.6456451612903,23.6,0.00186932350284487,0.00186932350284487,18622,"3","3","3"
2020-12-27,69,25,49,0.73675350560483,0.656558811940568,0.807874481059675,"2",23.4432653061224,23.3,0.220081140005499,0.220081140005499,18623,"3","3","3"
2020-12-28,60,45,45,0.716024435523639,0.625297731537691,0.784733768083195,"2",22.7395555555556,21.1,0.376609183433035,0.376609183433035,18624,"3","2","4"
2020-12-29,50,36,54,0.710792578762688,0.63700792141737,0.784080151248655,"2",25.4824074074074,26.35,0.102106530446981,0.102106530446981,18625,"4","5","3"
2020-12-30,47,19,63,0.725242088981795,0.626680912387434,0.788845036614976,"2",24.3006349206349,24.2,0.251789484878337,0.251789484878337,18626,"4","4","3"
2020-12-31,62,22,42,0.740835849231959,0.644300069451996,0.816673578786722,"2",24.7433333333333,24.5,-0.0721608205813994,-0.0721608205813994,18627,"4","4","2"
2021-01-01,36,24,27,0.757816567816752,0.657563166063935,0.853058354575259,"2",24.5655555555556,22.1,0.198543696215231,0.198543696215231,18628,"4","3","3"
2021-01-02,34,35,47,0.787648972650134,0.672037503798236,0.892187351787029,"2",25.8736170212766,25.3,0.101176768807016,0.101176768807016,18629,"4","4","3"
2021-01-03,40,18,40,0.842470614794576,0.717503174236154,0.932186706360228,"2",25.07825,26.255,-0.0752436649250057,-0.0752436649250057,18630,"4","5","2"
2021-01-04,43,29,41,0.888673477121052,0.797914438301852,0.992776412281649,"2",22.7024390243902,21.93,0.376527397237558,0.376527397237558,18631,"3","2","4"
2021-01-05,31,35,22,0.943438721338338,0.823850863742389,1.04165162407946,"2",22.8786363636364,25.3,-0.107626682116516,-0.107626682116516,18632,"3","4","2"
2021-01-06,22,21,33,0.994575649067824,0.875517500731063,1.07124559416296,"2",24.1718181818182,22.8,0.323654309348571,0.323654309348571,18633,"4","3","4"
2021-01-07,29,21,52,1.05401087240339,0.948620830652168,1.15541683372971,"3",24.0182692307692,23.32,0.372921905921528,0.372921905921528,18634,"4","3","4"
2021-01-08,42,18,46,1.12913894486754,1.01751597941705,1.23373196580909,"3",24.1252173913043,23.31,0.42146030035999,0.42146030035999,18635,"4","3","4"
2021-01-09,53,30,23,1.18031861712732,1.10103930848282,1.31485394779873,"3",26.32,26,0.090036414399966,0.090036414399966,18636,"5","4","3"
2021-01-10,28,37,47,1.24941937869168,1.15592509664685,1.36204880545541,"3",22.7585106382979,21.79,0.425352765141931,0.425352765141931,18637,"3","2","4"
2021-01-11,38,28,42,1.2965589127389,1.22585559762585,1.40286561680019,"3",24.6878571428571,24.2,0.159066883785375,0.159066883785375,18638,"4","4","3"
2021-01-12,60,31,40,1.34194713306545,1.25729139420854,1.4754398771263,"3",23.00125,22.565,0.230088624274392,0.230088624274392,18639,"3","3","3"
2021-01-13,42,38,34,1.34029055953473,1.26228838280478,1.47424192154715,"3",23.7341176470588,22.675,0.0950467542680855,0.0950467542680855,18640,"3","3","3"
2021-01-14,26,42,40,1.34968626211497,1.21361281439501,1.48931858773379,"3",21.95575,21.85,0.360027674718414,0.360027674718414,18641,"2","2","4"
2021-01-15,35,54,44,1.31524007365643,1.17644979825188,1.43042176438746,"3",22.5145454545455,22.3,0.188131746907147,0.188131746907147,18642,"3","3","3"
2021-01-16,49,43,54,1.25795213197843,1.14587947545927,1.38529770809721,"3",22.582037037037,21.895,0.449490541860203,0.449490541860203,18643,"3","2","4"
2021-01-17,51,56,73,1.21947506909483,1.0985251719769,1.38889533337677,"3",22.0671232876712,21.7,0.532302363773759,0.532302363773759,18644,"3","2","4"
2021-01-18,102,48,72,1.12824149137645,1.03141354411978,1.24797479662107,"3",21.5519444444444,19.96,0.603923947885471,0.603923947885471,18645,"2","1","4"
2021-01-19,55,39,56,1.05981457149505,0.978526282861903,1.18318371062362,"3",23.4321428571429,22.8,0.444020426649547,0.444020426649547,18646,"3","3","4"
2021-01-20,77,38,71,0.988681263791982,0.90231847547218,1.10061560340102,"2",22.9349295774648,22.55,0.671728294768904,0.671728294768904,18647,"3","3","4"
2021-01-21,63,34,77,0.908353554729668,0.829133414685685,1.02292211543455,"2",22.2709090909091,21.6,0.363824508159455,0.363824508159455,18648,"3","2","4"
2021-01-22,55,62,80,0.827938680719765,0.768347933684243,0.926351187164761,"2",23.237625,21.76,0.472199260975649,0.472199260975649,18649,"3","2","4"
2021-01-23,78,38,77,0.767223980317636,0.70706251602298,0.85731424323271,"2",23.997012987013,23.6,0.204224510468875,0.204224510468875,18650,"3","3","3"
2021-01-24,72,30,68,0.71675758767755,0.649770984221423,0.764756976709009,"2",24.3610294117647,24.33,0.0105444828883289,0.0105444828883289,18651,"4","4","3"
2021-01-25,69,26,64,0.659710593218393,0.597729248055952,0.719387935208956,"2",24.479375,25.15,-0.132345814716138,-0.132345814716138,18652,"4","4","2"
2021-01-26,63,28,57,0.614806834698697,0.554360230918468,0.674099491292634,"2",23.5080701754386,23.9,0.27031584535637,0.27031584535637,18653,"3","3","3"
2021-01-27,57,22,52,0.578795888184869,0.512486487592999,0.638656865924661,"2",23.8911538461538,23.585,0.356372729248617,0.356372729248617,18654,"3","3","4"
2021-01-28,38,17,52,0.554599174353612,0.487890198981059,0.632606741808174,"2",23.175,22.5,0.353400200077758,0.353400200077758,18655,"3","3","4"
2021-01-29,48,17,27,0.553691450377362,0.477111384666942,0.631162069922119,"2",24.2814814814815,24.8,0.0624674475513633,0.0624674475513633,18656,"4","4","3"
2021-01-30,26,16,48,0.55396723860521,0.466668643200051,0.646666117129674,"2",25.8177083333333,25.965,-0.00925661080639824,-0.00925661080639824,18657,"4","4","2"
2021-01-31,44,10,32,0.564724274421722,0.481726275968099,0.678334910048834,"2",25.0059375,24.765,0.272117627810162,0.272117627810162,18658,"4","4","3"
2021-02-01,29,20,24,0.591148140228537,0.489776367521099,0.701146090461074,"2",25.7725,24.8,0.0952080555949127,0.0952080555949127,18659,"4","4","3"
2021-02-02,24,20,25,0.61291160635703,0.500579904914735,0.739317671624847,"2",25.8332,24.1,0.318440977760297,0.318440977760297,18660,"4","4","4"
2021-02-03,19,15,21,0.597262164936647,0.493598008354464,0.725450963884933,"2",25.8128571428571,26.02,-0.533869381230412,-0.533869381230412,18661,"4","5","1"
2021-02-04,19,19,22,0.614804673182936,0.481429638275301,0.748089839371339,"2",26.3077272727273,26.865,-0.193849367354284,-0.193849367354284,18662,"5","5","2"
2021-02-05,34,20,27,0.609796982056647,0.482500168925275,0.732374821877317,"2",24.3574074074074,23.74,0.250823720204808,0.250823720204808,18663,"4","3","3"
2021-02-06,16,14,22,0.588474640575164,0.476243075145875,0.70500035425114,"2",26.0736363636364,26.85,-0.258874950298316,-0.258874950298316,18664,"5","5","2"
2021-02-07,24,14,18,0.565834578385927,0.441656068354573,0.68084494537876,"2",25.145,24.32,0.150192826810303,0.150192826810303,18665,"4","4","3"
2021-02-08,28,9,25,0.553315125934553,0.447525773356974,0.683203003651119,"2",25.48,23.6,0.293312969438353,0.293312969438353,18666,"4","3","3"
2021-02-09,21,13,24,0.550395740165952,0.43698972854538,0.671926886850538,"2",25.5045833333333,25.42,-0.241643653860258,-0.241643653860258,18667,"4","4","2"
2021-02-10,17,5,17,0.540837567491125,0.421533917190498,0.651373539826773,"2",24.6541176470588,25.7,-0.0752841261104796,-0.0752841261104796,18668,"4","4","2"
2021-02-11,17,14,11,0.541909272395593,0.397756337116705,0.667099519855114,"2",23.1372727272727,21.83,0.688125411292959,0.688125411292959,18669,"3","2","4"
2021-02-12,18,9,13,0.546564181679289,0.409858936045519,0.685716666677679,"2",25.0115384615385,22.3,0.329317469894085,0.329317469894085,18670,"4","3","4"
2021-02-13,10,7,12,0.565237646818452,0.434666509815583,0.696077453193356,"2",24.2375,22.15,0.393071817971621,0.393071817971621,18671,"4","3","4"
2021-02-14,10,11,6,0.593382909076862,0.449810642951294,0.751459628853225,"2",24.7033333333333,23.905,0.199480333742657,0.199480333742657,18672,"4","3","3"
2021-02-15,4,5,6,0.631836635681782,0.500926984061398,0.791648620973855,"2",24.29,24.8,0.0129222335732252,0.0129222335732252,18673,"4","4","3"
2021-02-16,6,3,12,0.746842180359178,0.548214941761611,0.875320398553181,"2",25.0266666666667,24.35,0.376822414491398,0.376822414491398,18674,"4","4","4"
2021-02-17,12,8,9,0.777806628513879,0.620891634505215,0.931349387242568,"2",27.9255555555556,27.2,0.656498696502118,0.656498696502118,18675,"5","5","4"
2021-02-18,8,6,12,0.889416701976172,0.687203800811092,1.03576216471538,"2",26.4916666666667,28.65,-0.159902653026651,-0.159902653026651,18676,"5","5","2"
2021-02-19,12,6,17,0.927542304523644,0.784270541974247,1.13030472690753,"2",26.3517647058824,26.1,-0.0816814368636598,-0.0816814368636598,18677,"5","5","2"
2021-02-20,10,4,9,1.0118018045943,0.807591275963783,1.18548142766089,"3",23.6111111111111,22.8,0.147606995168025,0.147606995168025,18678,"3","3","3"
2021-02-21,19,13,16,1.0189917937308,0.861117042496533,1.17909159013267,"3",27.03125,27.4,-0.290085005631217,-0.290085005631217,18679,"5","5","2"
2021-02-22,13,24,10,1.04197614059079,0.895513834971285,1.16435007037068,"3",23.38,23.05,0.245588420357435,0.245588420357435,18680,"3","3","3"
2021-02-23,11,15,13,1.02398439762282,0.878108573559478,1.16738318097796,"3",24.8976923076923,22.5,0.238268917674304,0.238268917674304,18681,"4","3","3"
2021-02-24,16,8,17,0.976885415486362,0.859100676482356,1.09908750566592,"2",23.0070588235294,23.45,0.0647198233498275,0.0647198233498275,18682,"3","3","3"
2021-02-25,12,8,21,0.90666997404133,0.801622510056421,1.02567362849042,"2",22.0604761904762,20.2,0.837907166093146,0.837907166093146,18683,"3","2","4"
2021-02-26,18,9,18,0.854856672734297,0.730375549728605,0.974296648833597,"2",23.8261111111111,21.81,0.459759359855787,0.459759359855787,18684,"3","2","4"
2021-02-27,31,4,19,0.811276161799914,0.69054684899097,0.962276073804554,"2",24.3478947368421,20.3,0.495651126246384,0.495651126246384,18685,"4","2","4"
